;03:Q1;03:Q2;03:Q3;03:Q4;04:Q1;04:Q2;04:Q3;04:Q4;05:Q1;05:Q2;05:Q3;05:Q4;06:Q1;06:Q2;06:Q3;06:Q4;07:Q1;07:Q2;07:Q3;07:Q4;08:Q1;08:Q2;08:Q3;08:Q4;09:Q1;09:Q2;09:Q3;09:Q4;10:Q1;10:Q2;10:Q3;10:Q4;11:Q1;11:Q2;11:Q3;11:Q4;12:Q1;12:Q2;12:Q3;12:Q4;13:Q1;13:Q2;13:Q3;13:Q4;14:Q1;14:Q2;14:Q3;14:Q4;15:Q1;15:Q2;15:Q3;15:Q4;16:Q1;16:Q2;16:Q3;16:Q4;17:Q1;17:Q2;17:Q3;17:Q4;18:Q1;18:Q2;18:Q3;18:Q4;19:Q1;19:Q2;19:Q3;19:Q4
AZ;0.12;0.09;0.11;0.12;0.11;0.10;0.09;0.11;0.09;0.06;0.05;0.04;0.05;0.05;0.05;0.08;0.10;0.10;0.18;0.21;0.31;0.39;0.47;0.54;0.55;0.64;0.57;0.50;0.50;0.55;0.54;0.53;0.42;0.32;0.29;0.31;0.28;0.27;0.23;0.17;0.14;0.11;0.10;0.09;0.06;0.06;0.05;0.06;0.05;0.05;0.04;0.05;0.05;0.03;0.03;0.03;0.03;0.04;0.03;0.03;0.04;0.03;0.02;0.03;0.03;0.026;0.02;0.023
CA;0.06;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.04;0.03;0.03;0.03;0.04;0.05;0.06;0.08;0.11;0.13;0.20;0.23;0.34;0.42;0.40;0.22;0.43;0.50;0.41;0.34;0.28;0.31;0.29;0.27;0.22;0.20;0.18;0.19;0.16;0.15;0.13;0.10;0.06;0.07;0.06;0.05;0.04;0.04;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.015;0.016;0.017
FL;0.10;0.07;0.07;0.08;0.07;0.06;0.06;0.06;0.05;0.04;0.05;0.04;0.04;0.05;0.06;0.08;0.12;0.13;0.19;0.25;0.33;0.37;0.42;0.49;0.50;0.52;0.42;0.42;0.43;0.38;0.34;0.30;0.25;0.17;0.15;0.19;0.20;0.19;0.16;0.15;0.12;0.14;0.10;0.08;0.09;0.07;0.07;0.07;0.05;0.05;0.04;0.05;0.05;0.04;0.03;0.03;0.04;0.04;0.03;0.01;0.02;0.04;0.03;0.03;0.03;0.028;0.026;0.03
IL;0.09;0.07;0.08;0.09;0.08;0.07;0.08;0.08;0.08;0.06;0.07;0.07;0.08;0.09;0.09;0.10;0.12;0.10;0.13;0.13;0.16;0.15;0.16;0.18;0.21;0.14;0.18;0.21;0.20;0.22;0.22;0.21;0.21;0.15;0.14;0.14;0.19;0.13;0.15;0.12;0.10;0.09;0.08;0.09;0.09;0.06;0.06;0.06;0.06;0.05;0.04;0.04;0.05;0.04;0.04;0.04;0.05;0.04;0.03;0.04;0.04;0.04;0.03;0.04;0.04;0.034;0.036;0.038
MI;0.11;0.08;0.09;0.10;0.10;0.10;0.10;0.11;0.10;0.10;0.11;0.14;0.14;0.14;0.16;0.19;0.21;0.18;0.22;0.23;0.25;0.25;0.21;0.22;0.25;0.26;0.22;0.24;0.25;0.26;0.23;0.23;0.20;0.14;0.13;0.15;0.14;0.12;0.13;0.11;0.09;0.08;0.07;0.07;0.05;0.05;0.04;0.03;0.04;0.04;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.014;0.019;0.018
NJ;0.07;0.06;0.06;0.06;0.06;0.06;0.05;0.06;0.05;0.05;0.05;0.05;0.05;0.06;0.05;0.06;0.09;0.06;0.09;0.11;0.14;0.14;0.16;0.17;0.16;0.20;0.21;0.18;0.19;0.23;0.17;0.20;0.12;0.06;0.07;0.04;0.08;0.05;0.08;0.08;0.07;0.13;0.10;0.09;0.09;0.07;0.07;0.07;0.06;0.05;0.05;0.05;0.06;0.05;0.04;0.05;0.06;0.06;0.04;0.05;0.06;0.05;0.03;0.04;0.04;0.044;0.037;0.044
NV;0.15;0.11;0.10;0.11;0.09;0.09;0.05;0.06;0.05;0.06;0.03;0.07;0.07;0.08;0.09;0.12;0.19;0.19;0.28;0.36;0.45;0.54;0.58;0.61;0.69;0.88;0.73;0.61;0.64;0.70;0.64;0.59;0.45;0.33;0.31;0.23;0.17;0.15;0.23;0.18;0.17;0.13;0.06;0.09;0.05;0.05;0.04;0.05;0.06;0.04;0.03;0.03;0.05;0.03;0.04;0.02;0.03;0.03;0.01;0.03;0.02;0.02;0.02;0.02;0.03;0.019;0.023;0.017
NY;0.06;0.05;0.05;0.05;0.05;0.05;0.04;0.05;0.05;0.04;0.04;0.05;0.05;0.05;0.05;0.06;0.07;0.06;0.09;0.09;0.10;0.09;0.10;0.06;0.09;0.12;0.12;0.12;0.10;0.11;0.1;0.09;0.07;0.06;0.06;0.05;0.06;0.05;0.06;0.04;0.04;0.09;0.05;0.04;0.06;0.04;0.03;0.04;0.04;0.03;0.03;0.04;0.03;0.03;0.03;0.02;0.03;0.03;0.02;0.02;0.03;0.03;0.02;0.02;0.02;0.022;0.024;0.026
OH;0.10;0.09;0.10;0.13;0.12;0.11;0.11;0.12;0.12;0.10;0.11;0.12;0.12;0.12;0.12;0.15;0.16;0.14;0.16;0.15;0.19;0.16;0.15;0.15;0.17;0.17;0.14;0.14;0.15;0.16;0.15;0.14;0.13;0.10;0.11;0.12;0.12;0.10;0.10;0.09;0.08;0.09;0.06;0.08;0.07;0.06;0.05;0.06;0.06;0.04;0.05;0.06;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.04;0.029;0.027;0.033
PA;0.08;0.07;0.06;0.08;0.08;0.06;0.07;0.06;0.07;0.06;0.06;0.07;0.06;0.07;0.06;0.08;0.08;0.07;0.08;0.08;0.09;0.08;0.09;0.09;0.10;0.10;0.09;0.09;0.10;0.11;0.1;0.09;0.08;0.05;0.05;0.06;0.08;0.06;0.07;0.04;0.05;0.07;0.06;0.06;0.05;0.05;0.04;0.05;0.04;0.04;0.04;0.05;0.04;0.03;0.03;0.03;0.03;0.04;0.03;0.03;0.03;0.04;0.03;0.03;0.03;0.029;0.027;0.033
